                     name                        jd                         a                         e                         i                         w                        OM                        M0  date
                 2012 TC4  2459600.5000000000000000        2.7742939999999998        0.1649131000000000        0.1118471561860290        4.4600965755540791        5.1227466053233917        3.3162702665842163  21.01.2022 3:0:0
                2012 PB20  2459600.5000000000000000        1.0541790000000000        0.0948762000000000        0.1019176290055829        0.8726096481257269        2.4940803880218025        0.3600087157430200  21.01.2022 3:0:0
                2012 KP24  2459600.5000000000000000        1.4981853000000001        0.3694370000000000        0.3223581240531479        3.8661318841018999        1.1771570362281230        1.3115917199946869  21.01.2022 3:0:0
                2011 UK10  2459600.5000000000000000        2.4124610999999998        0.1522694000000000        0.0580737364650089        0.1020494013641084        2.0114668301822358        3.7114428288988672  21.01.2022 3:0:0
                 2011 ES4  2459600.5000000000000000        3.1528013000000001        0.1082815000000000        0.2778253500568117        0.8105672074746081        0.4134800189705198        1.3254913476246448  21.01.2022 3:0:0
                 2006 XV4  2459600.5000000000000000        3.1221646000000001        0.0886368000000000        0.2356117695705257        4.3090009787479771        1.8968753182803713        0.1722594593157852  21.01.2022 3:0:0
                  1994 GV  2459600.5000000000000000       43.5842872999999997        0.0585864000000000        0.0098202695692713        5.2659091570804035        3.0850294995923857        1.4744839972150188  21.01.2022 3:0:0
                 2011 AG5  2459600.5000000000000000        2.5986479000000000        0.1985094000000000        0.1392427167899580        2.6113626740314668        1.9557206648076868        2.0721334277840078  21.01.2022 3:0:0
                2006 SU49  2459600.5000000000000000        1.4124140999999999        0.3121384000000000        0.0439494849603196        3.4742401917151486        5.2902451555055867        5.0016317508092722  21.01.2022 3:0:0
                1997 XF11  2459600.5000000000000000        1.4422296999999999        0.4838754000000000        0.0715448857636019        1.7981722366911115        3.7291996341757319        1.1005831587578248  21.01.2022 3:0:0
